Rank,Firearms,MSA_name,,Rank,Homicides,MSA_name,,Rank,Firearm Licenses,MSA_name
1,0.184347096,"Natchitoches, LA MicroSA",,1,1.1119115,"Helena-West Helena, AR MicroSA",,1,0.721686747,"Prineville, OR MicroSA"
2,0.177825999,"Bastrop, LA MicroSA",,2,0.984423885,"Clarksdale, MS MicroSA",,2,0.57522464,"Spearfish, SD MicroSA"
3,0.175381322,"Cleveland, MS MicroSA",,3,0.982008652,"Selma, AL MicroSA",,3,0.49359218,"Fredericksburg, TX MicroSA"
4,0.16964177,"Tuscaloosa, AL MSA",,4,0.973272913,"Greenville, MS MicroSA",,4,0.463955208,"Helena, MT MicroSA"
5,0.165144215,"Statesboro, GA MicroSA",,5,0.868424018,"Indianola, MS MicroSA",,5,0.455478482,"Prescott, AZ MSA"
6,0.161429051,"Americus, GA MicroSA",,6,0.843169404,"Grenada, MS MicroSA",,6,0.445289225,"Kalispell, MT MicroSA"
7,0.16036209,"Brenham, TX MicroSA",,7,0.830217295,"Blytheville, AR MicroSA",,7,0.434834912,"La Grande, OR MicroSA"
8,0.155168039,"Anniston-Oxford-Jacksonville, AL MSA",,8,0.807695647,"Greenwood, MS MicroSA",,8,0.424396123,"Jefferson City, MO MSA"
9,0.151899463,"Albany, GA MSA",,9,0.803701698,"Pine Bluff, AR MSA",,9,0.418043462,"Enterprise, AL MicroSA"
10,0.150973354,"Troy, AL MicroSA",,10,0.796794256,"Bennettsville, SC MicroSA",,10,0.406550567,"Greeley, CO MSA"
11,0.144285834,"Hattiesburg, MS MSA",,11,0.786765984,"Lumberton, NC MicroSA",,11,0.404826488,"Harrison, AR MicroSA"
12,0.142097856,"London, KY MicroSA",,12,0.773931129,"Forrest City, AR MicroSA",,12,0.382119263,"Mayfield, KY MicroSA"
13,0.141670154,"Scottsboro, AL MicroSA",,13,0.770969337,"Henderson, NC MicroSA",,13,0.372448854,"Rapid City, SD MSA"
14,0.141035537,"Tifton, GA MicroSA",,14,0.769725562,"Brookhaven, MS MicroSA",,14,0.371318429,"Dallas-Fort Worth-Arlington, TX MSA"
15,0.140877742,"Meridian, MS MicroSA",,15,0.761899068,"Natchez, MS-LA MicroSA",,15,0.369907158,"Bozeman, MT MicroSA"
16,0.140649271,"Enterprise, AL MicroSA",,16,0.700370358,"Bastrop, LA MicroSA",,16,0.36682005,"Menomonie, WI MicroSA"
17,0.138550466,"Elko, NV MicroSA",,17,0.696268931,"Cleveland, MS MicroSA",,17,0.363938115,"Riverton, WY MicroSA"
18,0.13746842,"Cordele, GA MicroSA",,18,0.64141121,"Laurinburg, NC MicroSA",,18,0.36306431,"Fernley, NV MicroSA"
19,0.137311758,"Macon, GA MSA",,19,0.627074428,"Cordele, GA MicroSA",,19,0.360580582,"Parkersburg-Vienna, WV MSA"
20,0.137310839,"Pampa, TX MicroSA",,20,0.617007829,"Gallup, NM MicroSA",,20,0.350204719,"Gardnerville Ranchos, NV MicroSA"
21,0.136951074,"Birmingham-Hoover, AL MSA",,21,0.616437498,"Orangeburg, SC MicroSA",,21,0.345973518,"Weatherford, OK MicroSA"
22,0.135212226,"McComb, MS MicroSA",,22,0.608243477,"Roswell, NM MicroSA",,22,0.343914077,"Anchorage, AK MSA"
23,0.133812348,"Jackson, MS MSA",,23,0.602250713,"Vicksburg, MS MicroSA",,23,0.342718557,"Phoenix-Mesa-Scottsdale, AZ MSA"
24,0.13173557,"Montgomery, AL MSA",,24,0.592765148,"Natchitoches, LA MicroSA",,24,0.339029298,"Warren, PA MicroSA"
25,0.131462238,"Milledgeville, GA MicroSA",,25,0.589186354,"McComb, MS MicroSA",,25,0.333199222,"Lake Havasu City-Kingman, AZ MSA"
26,0.130070539,"Union City, TN-KY MicroSA",,26,0.575950702,"Meridian, MS MicroSA",,26,0.333036815,"Gainesville, TX MicroSA"
27,0.129692357,"Fredericksburg, TX MicroSA",,27,0.561627991,"Troy, AL MicroSA",,27,0.332363297,"Tulsa, OK MSA"
28,0.127559677,"Evanston, WY MicroSA",,28,0.558499671,"Espanola, NM MicroSA",,28,0.33048026,"Fort Smith, AR-OK MSA"
